     #Energy        Ge_s
   -27.26487     0.00000
   -27.22587     0.00000
   -27.18687     0.00000
   -27.14887     0.00000
   -27.10987     0.00000
   -27.07087     0.00000
   -27.03287     0.00000
   -26.99387     0.00000
   -26.95487     0.00000
   -26.91687     0.00000
   -26.87787     0.00000
   -26.83887     0.00000
   -26.80087     0.00000
   -26.76187     0.00000
   -26.72287     0.00000
   -26.68487     0.00000
   -26.64587     0.00000
   -26.60687     0.00000
   -26.56887     0.00000
   -26.52987     0.00000
   -26.49087     0.00000
   -26.45287     0.00000
   -26.41387     0.00000
   -26.37487     0.00000
   -26.33687     0.00000
   -26.29787     0.00000
   -26.25887     0.00000
   -26.22087     0.00000
   -26.18187     0.00000
   -26.14287     0.00000
   -26.10487     0.00000
   -26.06587     0.00000
   -26.02687     0.00000
   -25.98887     0.00000
   -25.94987     0.00000
   -25.91087     0.00000
   -25.87287     0.00000
   -25.83387     0.00000
   -25.79487     0.00000
   -25.75687     0.00000
   -25.71787     0.00000
   -25.67887     0.00000
   -25.64087     0.00000
   -25.60187     0.00000
   -25.56287     0.00000
   -25.52487     0.00000
   -25.48587     0.00125
   -25.44687     0.00186
   -25.40887     0.04044
   -25.36987     0.04520
   -25.33087     0.01197
   -25.29287     0.02590
   -25.25387     0.03876
   -25.21487     0.02004
   -25.17687     0.03284
   -25.13787     0.04324
   -25.09887     0.00466
   -25.06087     0.00175
   -25.02187     0.00041
   -24.98287     0.00000
   -24.94487     0.00000
   -24.90587     0.00000
   -24.86687     0.00000
   -24.82887     0.00000
   -24.78987     0.00000
   -24.75087     0.00000
   -24.71287     0.00000
   -24.67387     0.00000
   -24.63487     0.00000
   -24.59687     0.00000
   -24.55787     0.00000
   -24.51887     0.00000
   -24.48087     0.00000
   -24.44187     0.00000
   -24.40287     0.00000
   -24.36487     0.00000
   -24.32587     0.00000
   -24.28687     0.00000
   -24.24887     0.00000
   -24.20987     0.00000
   -24.17087     0.00000
   -24.13287     0.00000
   -24.09387     0.00000
   -24.05487     0.00000
   -24.01687     0.00000
   -23.97787     0.00000
   -23.93887     0.00000
   -23.90087     0.00000
   -23.86187     0.00000
   -23.82287     0.00000
   -23.78487     0.00000
   -23.74587     0.00000
   -23.70687     0.00000
   -23.66887     0.00000
   -23.62987     0.00000
   -23.59087     0.00000
   -23.55287     0.00000
   -23.51387     0.00000
   -23.47487     0.00000
   -23.43687     0.00000
   -23.39787     0.00000
   -23.35887     0.00000
   -23.32087     0.00000
   -23.28187     0.00000
   -23.24287     0.00000
   -23.20487     0.00000
   -23.16587     0.00000
   -23.12687     0.00000
   -23.08887     0.00000
   -23.04987     0.00000
   -23.01087     0.00000
   -22.97287     0.00000
   -22.93387     0.00000
   -22.89487     0.00000
   -22.85687     0.00000
   -22.81787     0.00000
   -22.77887     0.00000
   -22.74087     0.00000
   -22.70187     0.00000
   -22.66287     0.00000
