     #Energy   13&15_all
   -26.09793     0.00000
   -26.08693     0.00000
   -26.07593     0.00000
   -26.06493     0.00000
   -26.05293     0.00000
   -26.04193     0.00000
   -26.03093     0.00000
   -26.01993     0.00000
   -26.00893     0.00000
   -25.99793     0.00000
   -25.98693     0.00000
   -25.97493     0.00000
   -25.96393     0.00000
   -25.95293     0.00000
   -25.94193     0.00000
   -25.93093     0.00000
   -25.91993     0.00000
   -25.90793     0.00000
   -25.89693     0.00000
   -25.88593     0.00000
   -25.87493     0.00000
   -25.86393     0.00000
   -25.85293     0.00000
   -25.84193     0.00000
   -25.82993     0.00000
   -25.81893     0.00000
   -25.80793     0.00000
   -25.79693     0.00000
   -25.78593     0.00000
   -25.77493     0.00000
   -25.76293     0.00000
   -25.75193     0.00000
   -25.74093     0.00000
   -25.72993     0.00000
   -25.71893     0.00000
   -25.70793     0.00000
   -25.69593     0.00000
   -25.68493     0.00000
   -25.67393     0.00000
   -25.66293     0.00000
   -25.65193     0.00000
   -25.64093     0.00000
   -25.62993     0.00000
   -25.61793     0.00000
   -25.60693     0.00000
   -25.59593     0.00000
   -25.58493     0.00000
   -25.57393     0.00000
   -25.56293     0.00000
   -25.55093     0.00000
   -25.53993     0.00000
   -25.52893     0.00000
   -25.51793     0.00000
   -25.50693     0.00000
   -25.49593     0.00000
   -25.48493     0.00000
   -25.47293     0.00000
   -25.46193     0.00000
   -25.45093     0.00000
   -25.43993     0.00000
   -25.42893     0.00000
   -25.41793     0.00000
   -25.40593     0.00000
   -25.39493     0.00000
   -25.38393     0.00000
   -25.37293     0.00000
   -25.36193     0.00000
   -25.35093     0.00000
   -25.33993     0.00000
   -25.32793     0.00000
   -25.31693     0.00000
   -25.30593     0.00000
   -25.29493     0.00000
   -25.28393     0.00000
   -25.27293     0.00000
   -25.26093     0.00000
   -25.24993     0.00000
   -25.23893     0.00000
   -25.22793     0.00000
   -25.21693     0.00000
   -25.20593     0.00000
   -25.19393     0.00000
   -25.18293     0.00000
   -25.17193     0.00000
   -25.16093     0.00000
   -25.14993     0.00000
   -25.13893     0.00000
   -25.12793     0.00000
   -25.11593     0.00000
   -25.10493     0.00000
   -25.09393     0.00000
   -25.08293     0.00000
   -25.07193     0.00000
   -25.06093     0.00000
   -25.04893     0.00000
   -25.03793     0.00000
   -25.02693     0.00000
   -25.01593     0.00000
   -25.00493     0.00000
   -24.99393     0.00000
   -24.98293     0.00000
   -24.97093     0.00000
   -24.95993     0.00000
   -24.94893     0.00000
   -24.93793     0.00000
   -24.92693     0.00000
   -24.91593     0.00000
   -24.90393     0.00000
   -24.89293     0.00000
   -24.88193     0.00000
   -24.87093     0.00000
   -24.85993     0.00000
   -24.84893     0.00000
   -24.83693     0.00000
   -24.82593     0.00000
   -24.81493     0.00000
   -24.80393     0.00000
   -24.79293     0.00000
   -24.78193     0.00000
   -24.77093     0.00000
   -24.75893     0.00000
   -24.74793     0.00000
   -24.73693     0.00000
   -24.72593     0.00001
   -24.71493     0.00002
   -24.70393     0.00009
   -24.69193     0.00032
   -24.68093     0.00100
   -24.66993     0.00288
   -24.65893     0.00759
   -24.64793     0.01839
   -24.63693     0.04101
   -24.62593     0.08443
   -24.61393     0.16070
   -24.60293     0.28377
   -24.59193     0.46696
   -24.58093     0.72091
   -24.56993     1.05656
   -24.55893     1.49402
   -24.54693     2.08242
   -24.53593     2.92145
   -24.52493     4.17223
   -24.51393     6.04293
   -24.50293     8.73564
   -24.49193    12.38438
   -24.48093    16.98649
   -24.46893    22.37468
   -24.45793    28.24702
   -24.44693    34.21751
   -24.43593    39.89609
   -24.42493    44.94200
   -24.41393    49.12300
   -24.40193    52.34607
   -24.39093    54.66887
   -24.37993    56.25969
   -24.36893    57.29790
   -24.35793    57.86083
   -24.34693    57.89974
   -24.33493    57.27872
   -24.32393    55.90365
   -24.31293    53.84816
   -24.30193    51.38273
   -24.29093    48.88166
   -24.27993    46.77338
   -24.26893    45.43351
   -24.25693    45.15702
   -24.24593    46.16419
   -24.23493    48.56357
   -24.22393    52.27582
   -24.21293    56.93848
   -24.20193    61.86689
   -24.18993    66.11614
   -24.17893    68.65711
   -24.16793    68.60647
   -24.15693    65.43687
   -24.14593    59.17098
   -24.13493    50.40665
   -24.12393    40.22882
   -24.11193    29.93396
   -24.10093    20.68805
   -24.08993    13.24870
   -24.07893     7.86221
   -24.06793     4.33362
   -24.05693     2.23557
   -24.04493     1.09428
   -24.03393     0.51977
   -24.02293     0.24651
   -24.01193     0.11994
   -24.00093     0.06068
   -23.98993     0.03186
   -23.97793     0.01739
   -23.96693     0.01046
   -23.95593     0.00838
   -23.94493     0.01048
   -23.93393     0.01725
   -23.92293     0.02970
   -23.91193     0.04865
   -23.89993     0.07390
   -23.88893     0.10350
   -23.87793     0.13364
   -23.86693     0.15924
   -23.85593     0.17537
   -23.84493     0.17880
   -23.83293     0.16916
   -23.82193     0.14894
   -23.81093     0.12254
   -23.79993     0.09463
   -23.78893     0.06895
   -23.77793     0.04763
   -23.76693     0.03129
   -23.75493     0.01956
   -23.74393     0.01159
   -23.73293     0.00649
   -23.72193     0.00340
   -23.71093     0.00166
   -23.69993     0.00075
   -23.68793     0.00031
   -23.67693     0.00012
   -23.66593     0.00004
   -23.65493     0.00001
   -23.64393     0.00000
   -23.63293     0.00000
   -23.62093     0.00000
   -23.60993     0.00000
   -23.59893     0.00000
   -23.58793     0.00000
   -23.57693     0.00000
   -23.56593     0.00000
   -23.55493     0.00000
   -23.54293     0.00000
   -23.53193     0.00000
   -23.52093     0.00000
   -23.50993     0.00000
   -23.49893     0.00000
   -23.48793     0.00000
   -23.47593     0.00000
   -23.46493     0.00000
   -23.45393     0.00000
   -23.44293     0.00000
   -23.43193     0.00000
   -23.42093     0.00000
   -23.40993     0.00000
   -23.39793     0.00000
   -23.38693     0.00000
   -23.37593     0.00000
   -23.36493     0.00000
   -23.35393     0.00000
   -23.34293     0.00000
   -23.33093     0.00000
   -23.31993     0.00000
   -23.30893     0.00000
   -23.29793     0.00000
   -23.28693     0.00000
   -23.27593     0.00000
   -23.26493     0.00000
   -23.25293     0.00000
   -23.24193     0.00000
   -23.23093     0.00000
   -23.21993     0.00000
   -23.20893     0.00000
   -23.19793     0.00000
   -23.18593     0.00000
   -23.17493     0.00000
   -23.16393     0.00000
   -23.15293     0.00000
   -23.14193     0.00000
   -23.13093     0.00000
   -23.11893     0.00000
   -23.10793     0.00000
   -23.09693     0.00000
   -23.08593     0.00000
   -23.07493     0.00000
   -23.06393     0.00000
   -23.05293     0.00000
